Energy consumption time period,Usage (kilowatt-hours),Cost (Canadian Dollar)
2020/05/12 13:00 to 2020/05/12 14:00,1.16,0.12
2020/05/12 14:00 to 2020/05/12 15:00,1.19,0.12
2020/05/12 15:00 to 2020/05/12 16:00,1.31,0.13
2020/05/12 16:00 to 2020/05/12 17:00,1.42,0.14
2020/05/12 17:00 to 2020/05/12 18:00,1.54,0.16
2020/05/12 18:00 to 2020/05/12 19:00,2.02,0.2
2020/05/12 19:00 to 2020/05/12 20:00,2.16,0.22
2020/05/12 20:00 to 2020/05/12 21:00,1.92,0.19
2020/05/12 21:00 to 2020/05/12 22:00,1.82,0.18
2020/05/12 22:00 to 2020/05/12 23:00,1.84,0.19
2020/05/12 23:00 to 2020/05/13 00:00,1.71,0.17
2020/05/13 00:00 to 2020/05/13 01:00,1.81,0.18
2020/05/13 01:00 to 2020/05/13 02:00,1.62,0.16
2020/05/13 02:00 to 2020/05/13 03:00,1.14,0.12
2020/05/13 03:00 to 2020/05/13 04:00,1.23,0.12
2020/05/13 04:00 to 2020/05/13 05:00,1.32,0.13
2020/05/13 05:00 to 2020/05/13 06:00,1.17,0.12
2020/05/13 06:00 to 2020/05/13 07:00,1.1,0.11
2020/05/13 07:00 to 2020/05/13 08:00,0.93,0.09
2020/05/13 08:00 to 2020/05/13 09:00,1.07,0.11
2020/05/13 09:00 to 2020/05/13 10:00,1.01,0.1
2020/05/13 10:00 to 2020/05/13 11:00,1.06,0.11
2020/05/13 11:00 to 2020/05/13 12:00,0.96,0.1
2020/05/13 12:00 to 2020/05/13 13:00,1.34,0.14
2020/05/13 13:00 to 2020/05/13 14:00,2.15,0.22
2020/05/13 14:00 to 2020/05/13 15:00,2.28,0.23
2020/05/13 15:00 to 2020/05/13 16:00,2.3,0.23
2020/05/13 16:00 to 2020/05/13 17:00,5.17,0.52
2020/05/13 17:00 to 2020/05/13 18:00,9.88,1
2020/05/13 18:00 to 2020/05/13 19:00,2.59,0.26
2020/05/13 19:00 to 2020/05/13 20:00,2.98,0.3
2020/05/13 20:00 to 2020/05/13 21:00,3.07,0.31
2020/05/13 21:00 to 2020/05/13 22:00,1.94,0.2
2020/05/13 22:00 to 2020/05/13 23:00,1.58,0.16
2020/05/13 23:00 to 2020/05/14 00:00,1.94,0.2
2020/05/14 00:00 to 2020/05/14 01:00,1.6,0.16
2020/05/14 01:00 to 2020/05/14 02:00,1.67,0.17
2020/05/14 02:00 to 2020/05/14 03:00,1.48,0.15
2020/05/14 03:00 to 2020/05/14 04:00,0.91,0.09
2020/05/14 04:00 to 2020/05/14 05:00,1.25,0.13
2020/05/14 05:00 to 2020/05/14 06:00,0.93,0.09
2020/05/14 06:00 to 2020/05/14 07:00,0.93,0.09
2020/05/14 07:00 to 2020/05/14 08:00,0.97,0.1
2020/05/14 08:00 to 2020/05/14 09:00,0.79,0.08
2020/05/14 09:00 to 2020/05/14 10:00,0.89,0.09
2020/05/14 10:00 to 2020/05/14 11:00,0.87,0.09
2020/05/14 11:00 to 2020/05/14 12:00,0.94,0.09
2020/05/14 12:00 to 2020/05/14 13:00,1.12,0.11
2020/05/14 13:00 to 2020/05/14 14:00,1.57,0.16
2020/05/14 14:00 to 2020/05/14 15:00,1.53,0.15
2020/05/14 15:00 to 2020/05/14 16:00,1.57,0.16
2020/05/14 16:00 to 2020/05/14 17:00,1.72,0.17
2020/05/14 17:00 to 2020/05/14 18:00,2.21,0.22
2020/05/14 18:00 to 2020/05/14 19:00,1.9,0.19
2020/05/14 19:00 to 2020/05/14 20:00,3.06,0.31
2020/05/14 20:00 to 2020/05/14 21:00,1.76,0.18
2020/05/14 21:00 to 2020/05/14 22:00,1.74,0.18
2020/05/14 22:00 to 2020/05/14 23:00,1.67,0.17
2020/05/14 23:00 to 2020/05/15 00:00,1.73,0.17
2020/05/15 00:00 to 2020/05/15 01:00,1.77,0.18
2020/05/15 01:00 to 2020/05/15 02:00,1.53,0.15
2020/05/15 02:00 to 2020/05/15 03:00,1.36,0.14
2020/05/15 03:00 to 2020/05/15 04:00,1.1,0.11
2020/05/15 04:00 to 2020/05/15 05:00,1.16,0.12
2020/05/15 05:00 to 2020/05/15 06:00,0.8,0.08
2020/05/15 06:00 to 2020/05/15 07:00,0.79,0.08
2020/05/15 07:00 to 2020/05/15 08:00,0.8,0.08
2020/05/15 08:00 to 2020/05/15 09:00,0.82,0.08
2020/05/15 09:00 to 2020/05/15 10:00,0.9,0.09
2020/05/15 10:00 to 2020/05/15 11:00,0.9,0.09
2020/05/15 11:00 to 2020/05/15 12:00,0.97,0.1
2020/05/15 12:00 to 2020/05/15 13:00,1.8,0.18
2020/05/15 13:00 to 2020/05/15 14:00,1.96,0.2
2020/05/15 14:00 to 2020/05/15 15:00,4.99,0.5
2020/05/15 15:00 to 2020/05/15 16:00,2.06,0.21
2020/05/15 16:00 to 2020/05/15 17:00,2.01,0.2
2020/05/15 17:00 to 2020/05/15 18:00,1.79,0.18
2020/05/15 18:00 to 2020/05/15 19:00,2.65,0.27
2020/05/15 19:00 to 2020/05/15 20:00,3.3,0.33
2020/05/15 20:00 to 2020/05/15 21:00,2.94,0.3
2020/05/15 21:00 to 2020/05/15 22:00,1.37,0.14
2020/05/15 22:00 to 2020/05/15 23:00,18.74,1.89
2020/05/15 23:00 to 2020/05/16 00:00,9.2,0.93
2020/05/16 00:00 to 2020/05/16 01:00,2.03,0.13
2020/05/16 01:00 to 2020/05/16 02:00,2.2,0.14
2020/05/16 02:00 to 2020/05/16 03:00,1.81,0.12
2020/05/16 03:00 to 2020/05/16 04:00,1.48,0.1
2020/05/16 04:00 to 2020/05/16 05:00,1.06,0.07
2020/05/16 05:00 to 2020/05/16 06:00,0.97,0.06
2020/05/16 06:00 to 2020/05/16 07:00,0.86,0.06
2020/05/16 07:00 to 2020/05/16 08:00,0.8,0.05
2020/05/16 08:00 to 2020/05/16 09:00,0.85,0.06
2020/05/16 09:00 to 2020/05/16 10:00,1.05,0.07
2020/05/16 10:00 to 2020/05/16 11:00,2.21,0.14
2020/05/16 11:00 to 2020/05/16 12:00,2.41,0.16
2020/05/16 12:00 to 2020/05/16 13:00,2.16,0.14
2020/05/16 13:00 to 2020/05/16 14:00,2.64,0.17
2020/05/16 14:00 to 2020/05/16 15:00,2.9,0.19
2020/05/16 15:00 to 2020/05/16 16:00,2.78,0.18
2020/05/16 16:00 to 2020/05/16 17:00,2.37,0.15
2020/05/16 17:00 to 2020/05/16 18:00,2.51,0.16
2020/05/16 18:00 to 2020/05/16 19:00,6.4,0.42
2020/05/16 19:00 to 2020/05/16 20:00,4.25,0.28
2020/05/16 20:00 to 2020/05/16 21:00,3.24,0.21
2020/05/16 21:00 to 2020/05/16 22:00,1.98,0.13
2020/05/16 22:00 to 2020/05/16 23:00,5.38,0.35
2020/05/16 23:00 to 2020/05/17 00:00,1.46,0.09
2020/05/17 00:00 to 2020/05/17 01:00,2.26,0.15
2020/05/17 01:00 to 2020/05/17 02:00,2.11,0.14
2020/05/17 02:00 to 2020/05/17 03:00,1.92,0.12
2020/05/17 03:00 to 2020/05/17 04:00,1.81,0.12
2020/05/17 04:00 to 2020/05/17 05:00,1.48,0.1
2020/05/17 05:00 to 2020/05/17 06:00,0.67,0.04
2020/05/17 06:00 to 2020/05/17 07:00,0.7,0.05
2020/05/17 07:00 to 2020/05/17 08:00,0.74,0.05
2020/05/17 08:00 to 2020/05/17 09:00,0.75,0.05
2020/05/17 09:00 to 2020/05/17 10:00,0.74,0.05
2020/05/17 10:00 to 2020/05/17 11:00,0.67,0.04
2020/05/17 11:00 to 2020/05/17 12:00,0.72,0.05
2020/05/17 12:00 to 2020/05/17 13:00,0.92,0.06
2020/05/17 13:00 to 2020/05/17 14:00,1.12,0.07
2020/05/17 14:00 to 2020/05/17 15:00,1.78,0.12
2020/05/17 15:00 to 2020/05/17 16:00,1.28,0.08
2020/05/17 16:00 to 2020/05/17 17:00,1.43,0.09
2020/05/17 17:00 to 2020/05/17 18:00,1.62,0.11
2020/05/17 18:00 to 2020/05/17 19:00,1.49,0.1
2020/05/17 19:00 to 2020/05/17 20:00,1.37,0.09
2020/05/17 20:00 to 2020/05/17 21:00,2.57,0.17
2020/05/17 21:00 to 2020/05/17 22:00,1.7,0.11
2020/05/17 22:00 to 2020/05/17 23:00,1.5,0.1
2020/05/17 23:00 to 2020/05/18 00:00,1.42,0.09
2020/05/18 00:00 to 2020/05/18 01:00,1.92,0.19
2020/05/18 01:00 to 2020/05/18 02:00,2.42,0.24
2020/05/18 02:00 to 2020/05/18 03:00,2.86,0.29
2020/05/18 03:00 to 2020/05/18 04:00,1.92,0.19
2020/05/18 04:00 to 2020/05/18 05:00,1.15,0.12
2020/05/18 05:00 to 2020/05/18 06:00,0.85,0.09
2020/05/18 06:00 to 2020/05/18 07:00,0.72,0.07
2020/05/18 07:00 to 2020/05/18 08:00,0.7,0.07
2020/05/18 08:00 to 2020/05/18 09:00,0.75,0.08
2020/05/18 09:00 to 2020/05/18 10:00,1.04,0.11
2020/05/18 10:00 to 2020/05/18 11:00,0.78,0.08
2020/05/18 11:00 to 2020/05/18 12:00,0.7,0.07
2020/05/18 12:00 to 2020/05/18 13:00,0.8,0.08
2020/05/18 13:00 to 2020/05/18 14:00,1.3,0.13
2020/05/18 14:00 to 2020/05/18 15:00,1.48,0.15
2020/05/18 15:00 to 2020/05/18 16:00,1.48,0.15
2020/05/18 16:00 to 2020/05/18 17:00,1.4,0.14
2020/05/18 17:00 to 2020/05/18 18:00,2.69,0.27
2020/05/18 18:00 to 2020/05/18 19:00,3.17,0.32
2020/05/18 19:00 to 2020/05/18 20:00,1.43,0.14
2020/05/18 20:00 to 2020/05/18 21:00,1.54,0.16
2020/05/18 21:00 to 2020/05/18 22:00,1.46,0.15
2020/05/18 22:00 to 2020/05/18 23:00,6.16,0.62
2020/05/18 23:00 to 2020/05/19 00:00,1.79,0.18
2020/05/19 00:00 to 2020/05/19 01:00,2.18,0.22
2020/05/19 01:00 to 2020/05/19 02:00,2.04,0.21
2020/05/19 02:00 to 2020/05/19 03:00,1.62,0.16
2020/05/19 03:00 to 2020/05/19 04:00,1.57,0.16
2020/05/19 04:00 to 2020/05/19 05:00,1.06,0.11
2020/05/19 05:00 to 2020/05/19 06:00,0.97,0.1
2020/05/19 06:00 to 2020/05/19 07:00,0.89,0.09
2020/05/19 07:00 to 2020/05/19 08:00,0.93,0.09
2020/05/19 08:00 to 2020/05/19 09:00,0.91,0.09
2020/05/19 09:00 to 2020/05/19 10:00,1,0.1
2020/05/19 10:00 to 2020/05/19 11:00,0.91,0.09
2020/05/19 11:00 to 2020/05/19 12:00,0.95,0.1
2020/05/19 12:00 to 2020/05/19 13:00,0.87,0.09
2020/05/19 13:00 to 2020/05/19 14:00,1.54,0.16
2020/05/19 14:00 to 2020/05/19 15:00,2.5,0.25
2020/05/19 15:00 to 2020/05/19 16:00,2.08,0.21
2020/05/19 16:00 to 2020/05/19 17:00,2.22,0.22
2020/05/19 17:00 to 2020/05/19 18:00,3.84,0.39
2020/05/19 18:00 to 2020/05/19 19:00,4.48,0.45
2020/05/19 19:00 to 2020/05/19 20:00,3.09,0.31
2020/05/19 20:00 to 2020/05/19 21:00,2,0.2
2020/05/19 21:00 to 2020/05/19 22:00,1.67,0.17
2020/05/19 22:00 to 2020/05/19 23:00,1.91,0.19
2020/05/19 23:00 to 2020/05/20 00:00,1.85,0.19
2020/05/20 00:00 to 2020/05/20 01:00,1.99,0.2
2020/05/20 01:00 to 2020/05/20 02:00,2.01,0.2
2020/05/20 02:00 to 2020/05/20 03:00,1.77,0.18
2020/05/20 03:00 to 2020/05/20 04:00,1.63,0.16
2020/05/20 04:00 to 2020/05/20 05:00,1.09,0.11
2020/05/20 05:00 to 2020/05/20 06:00,0.74,0.07
2020/05/20 06:00 to 2020/05/20 07:00,0.98,0.1
2020/05/20 07:00 to 2020/05/20 08:00,0.81,0.08
2020/05/20 08:00 to 2020/05/20 09:00,0.76,0.08
2020/05/20 09:00 to 2020/05/20 10:00,1.64,0.17
2020/05/20 10:00 to 2020/05/20 11:00,2.1,0.21
2020/05/20 11:00 to 2020/05/20 12:00,1.75,0.18
2020/05/20 12:00 to 2020/05/20 13:00,1.98,0.2
2020/05/20 13:00 to 2020/05/20 14:00,2.27,0.23
2020/05/20 14:00 to 2020/05/20 15:00,2.39,0.24
2020/05/20 15:00 to 2020/05/20 16:00,2.39,0.24
2020/05/20 16:00 to 2020/05/20 17:00,2.45,0.25
2020/05/20 17:00 to 2020/05/20 18:00,2.5,0.25
2020/05/20 18:00 to 2020/05/20 19:00,4.51,0.46
2020/05/20 19:00 to 2020/05/20 20:00,3.23,0.33
2020/05/20 20:00 to 2020/05/20 21:00,3.07,0.31
2020/05/20 21:00 to 2020/05/20 22:00,2.27,0.23
2020/05/20 22:00 to 2020/05/20 23:00,1.86,0.19
2020/05/20 23:00 to 2020/05/21 00:00,3.61,0.36
2020/05/21 00:00 to 2020/05/21 01:00,2.01,0.2
2020/05/21 01:00 to 2020/05/21 02:00,2.03,0.21
2020/05/21 02:00 to 2020/05/21 03:00,1.56,0.16
2020/05/21 03:00 to 2020/05/21 04:00,1.6,0.16
2020/05/21 04:00 to 2020/05/21 05:00,1.1,0.11
2020/05/21 05:00 to 2020/05/21 06:00,0.79,0.08
2020/05/21 06:00 to 2020/05/21 07:00,0.8,0.08
2020/05/21 07:00 to 2020/05/21 08:00,0.87,0.09
2020/05/21 08:00 to 2020/05/21 09:00,0.86,0.09
2020/05/21 09:00 to 2020/05/21 10:00,0.88,0.09
2020/05/21 10:00 to 2020/05/21 11:00,1.37,0.14
2020/05/21 11:00 to 2020/05/21 12:00,1.66,0.17
2020/05/21 12:00 to 2020/05/21 13:00,1.9,0.19
2020/05/21 13:00 to 2020/05/21 14:00,2.11,0.21
2020/05/21 14:00 to 2020/05/21 15:00,2.04,0.21
2020/05/21 15:00 to 2020/05/21 16:00,1.92,0.19
2020/05/21 16:00 to 2020/05/21 17:00,2,0.2
2020/05/21 17:00 to 2020/05/21 18:00,2.31,0.23
2020/05/21 18:00 to 2020/05/21 19:00,3.6,0.36
2020/05/21 19:00 to 2020/05/21 20:00,3.71,0.37
2020/05/21 20:00 to 2020/05/21 21:00,3.53,0.36
2020/05/21 21:00 to 2020/05/21 22:00,2.9,0.29
2020/05/21 22:00 to 2020/05/21 23:00,2.49,0.25
2020/05/21 23:00 to 2020/05/22 00:00,2.36,0.24
2020/05/22 00:00 to 2020/05/22 01:00,2.65,0.27
2020/05/22 01:00 to 2020/05/22 02:00,2.4,0.24
2020/05/22 02:00 to 2020/05/22 03:00,2.05,0.21
2020/05/22 03:00 to 2020/05/22 04:00,1.86,0.19
2020/05/22 04:00 to 2020/05/22 05:00,1.58,0.16
2020/05/22 05:00 to 2020/05/22 06:00,1.08,0.11
2020/05/22 06:00 to 2020/05/22 07:00,0.93,0.09
2020/05/22 07:00 to 2020/05/22 08:00,0.9,0.09
2020/05/22 08:00 to 2020/05/22 09:00,1.12,0.11
2020/05/22 09:00 to 2020/05/22 10:00,1.38,0.14
2020/05/22 10:00 to 2020/05/22 11:00,1.78,0.18
2020/05/22 11:00 to 2020/05/22 12:00,2.26,0.23
2020/05/22 12:00 to 2020/05/22 13:00,2.35,0.24
2020/05/22 13:00 to 2020/05/22 14:00,2.72,0.27
2020/05/22 14:00 to 2020/05/22 15:00,3.64,0.37
2020/05/22 15:00 to 2020/05/22 16:00,4.58,0.46
2020/05/22 16:00 to 2020/05/22 17:00,6.13,0.62
2020/05/22 17:00 to 2020/05/22 18:00,5.36,0.54
2020/05/22 18:00 to 2020/05/22 19:00,5.1,0.52
2020/05/22 19:00 to 2020/05/22 20:00,4.32,0.44
2020/05/22 20:00 to 2020/05/22 21:00,2.41,0.24
2020/05/22 21:00 to 2020/05/22 22:00,2.26,0.23
2020/05/22 22:00 to 2020/05/22 23:00,22.5,2.27
2020/05/22 23:00 to 2020/05/23 00:00,8.94,0.9
2020/05/23 00:00 to 2020/05/23 01:00,1.84,0.12
2020/05/23 01:00 to 2020/05/23 02:00,2.23,0.14
2020/05/23 02:00 to 2020/05/23 03:00,2.15,0.14
2020/05/23 03:00 to 2020/05/23 04:00,1.57,0.1
2020/05/23 04:00 to 2020/05/23 05:00,1.52,0.1
2020/05/23 05:00 to 2020/05/23 06:00,1.08,0.07
2020/05/23 06:00 to 2020/05/23 07:00,0.95,0.06
2020/05/23 07:00 to 2020/05/23 08:00,0.94,0.06
2020/05/23 08:00 to 2020/05/23 09:00,0.72,0.05
2020/05/23 09:00 to 2020/05/23 10:00,0.75,0.05
2020/05/23 10:00 to 2020/05/23 11:00,2.17,0.14
2020/05/23 11:00 to 2020/05/23 12:00,2.91,0.19
2020/05/23 12:00 to 2020/05/23 13:00,3.26,0.21
2020/05/23 13:00 to 2020/05/23 14:00,5.29,0.34
2020/05/23 14:00 to 2020/05/23 15:00,3.21,0.21
2020/05/23 15:00 to 2020/05/23 16:00,3.55,0.23
2020/05/23 16:00 to 2020/05/23 17:00,3.13,0.2
2020/05/23 17:00 to 2020/05/23 18:00,3.21,0.21
2020/05/23 18:00 to 2020/05/23 19:00,6.73,0.44
2020/05/23 19:00 to 2020/05/23 20:00,6.12,0.4
2020/05/23 20:00 to 2020/05/23 21:00,5.02,0.33
2020/05/23 21:00 to 2020/05/23 22:00,3.71,0.24
2020/05/23 22:00 to 2020/05/23 23:00,6.78,0.44
2020/05/23 23:00 to 2020/05/24 00:00,2.57,0.17
2020/05/24 00:00 to 2020/05/24 01:00,2.9,0.19
2020/05/24 01:00 to 2020/05/24 02:00,2.57,0.17
2020/05/24 02:00 to 2020/05/24 03:00,1.82,0.12
2020/05/24 03:00 to 2020/05/24 04:00,1.24,0.08
2020/05/24 04:00 to 2020/05/24 05:00,1.12,0.07
2020/05/24 05:00 to 2020/05/24 06:00,0.89,0.06
2020/05/24 06:00 to 2020/05/24 07:00,0.92,0.06
2020/05/24 07:00 to 2020/05/24 08:00,0.84,0.05
2020/05/24 08:00 to 2020/05/24 09:00,1.52,0.1
2020/05/24 09:00 to 2020/05/24 10:00,2.56,0.17
2020/05/24 10:00 to 2020/05/24 11:00,2.17,0.14
2020/05/24 11:00 to 2020/05/24 12:00,2.79,0.18
2020/05/24 12:00 to 2020/05/24 13:00,3.67,0.24
2020/05/24 13:00 to 2020/05/24 14:00,2.98,0.19
2020/05/24 14:00 to 2020/05/24 15:00,2.92,0.19
2020/05/24 15:00 to 2020/05/24 16:00,3.37,0.22
2020/05/24 16:00 to 2020/05/24 17:00,3.82,0.25
2020/05/24 17:00 to 2020/05/24 18:00,3.35,0.22
2020/05/24 18:00 to 2020/05/24 19:00,3.72,0.24
2020/05/24 19:00 to 2020/05/24 20:00,3.91,0.25
2020/05/24 20:00 to 2020/05/24 21:00,3.37,0.22
2020/05/24 21:00 to 2020/05/24 22:00,3.35,0.22
2020/05/24 22:00 to 2020/05/24 23:00,3.53,0.23
2020/05/24 23:00 to 2020/05/25 00:00,3.5,0.23
2020/05/25 00:00 to 2020/05/25 01:00,1.85,0.19
2020/05/25 01:00 to 2020/05/25 02:00,2.16,0.22
2020/05/25 02:00 to 2020/05/25 03:00,1.96,0.2
2020/05/25 03:00 to 2020/05/25 04:00,1.75,0.18
2020/05/25 04:00 to 2020/05/25 05:00,1.56,0.16
2020/05/25 05:00 to 2020/05/25 06:00,1.37,0.14
2020/05/25 06:00 to 2020/05/25 07:00,1.28,0.13
2020/05/25 07:00 to 2020/05/25 08:00,1.28,0.13
2020/05/25 08:00 to 2020/05/25 09:00,1.96,0.2
2020/05/25 09:00 to 2020/05/25 10:00,2.78,0.28
2020/05/25 10:00 to 2020/05/25 11:00,2.83,0.29
2020/05/25 11:00 to 2020/05/25 12:00,3.04,0.31
2020/05/25 12:00 to 2020/05/25 13:00,3.37,0.34
2020/05/25 13:00 to 2020/05/25 14:00,3.27,0.33
2020/05/25 14:00 to 2020/05/25 15:00,5.03,0.51
2020/05/25 15:00 to 2020/05/25 16:00,3.1,0.31
2020/05/25 16:00 to 2020/05/25 17:00,3.26,0.33
2020/05/25 17:00 to 2020/05/25 18:00,3.55,0.36
2020/05/25 18:00 to 2020/05/25 19:00,4.11,0.42
2020/05/25 19:00 to 2020/05/25 20:00,3.42,0.35
2020/05/25 20:00 to 2020/05/25 21:00,4.2,0.42
2020/05/25 21:00 to 2020/05/25 22:00,4.26,0.43
2020/05/25 22:00 to 2020/05/25 23:00,8.63,0.87
2020/05/25 23:00 to 2020/05/26 00:00,8.17,0.83
2020/05/26 00:00 to 2020/05/26 01:00,4.01,0.41
2020/05/26 01:00 to 2020/05/26 02:00,3.59,0.36
2020/05/26 02:00 to 2020/05/26 03:00,2.91,0.29
2020/05/26 03:00 to 2020/05/26 04:00,2.51,0.25
2020/05/26 04:00 to 2020/05/26 05:00,1.78,0.18
2020/05/26 05:00 to 2020/05/26 06:00,1.62,0.16
2020/05/26 06:00 to 2020/05/26 07:00,1.55,0.16
2020/05/26 07:00 to 2020/05/26 08:00,1.63,0.16
2020/05/26 08:00 to 2020/05/26 09:00,2.29,0.23
2020/05/26 09:00 to 2020/05/26 10:00,2.71,0.27
2020/05/26 10:00 to 2020/05/26 11:00,3.14,0.32
2020/05/26 11:00 to 2020/05/26 12:00,4.14,0.42
2020/05/26 12:00 to 2020/05/26 13:00,3.15,0.32
2020/05/26 13:00 to 2020/05/26 14:00,3.07,0.31
2020/05/26 14:00 to 2020/05/26 15:00,3.3,0.33
2020/05/26 15:00 to 2020/05/26 16:00,3.46,0.35
2020/05/26 16:00 to 2020/05/26 17:00,3.25,0.33
2020/05/26 17:00 to 2020/05/26 18:00,3.33,0.34
2020/05/26 18:00 to 2020/05/26 19:00,3.34,0.34
2020/05/26 19:00 to 2020/05/26 20:00,6.03,0.61
2020/05/26 20:00 to 2020/05/26 21:00,3.59,0.36
2020/05/26 21:00 to 2020/05/26 22:00,3.6,0.36
2020/05/26 22:00 to 2020/05/26 23:00,3.65,0.37
2020/05/26 23:00 to 2020/05/27 00:00,3.73,0.38
2020/05/27 00:00 to 2020/05/27 01:00,3.7,0.37
2020/05/27 01:00 to 2020/05/27 02:00,3.75,0.38
2020/05/27 02:00 to 2020/05/27 03:00,3.06,0.31
2020/05/27 03:00 to 2020/05/27 04:00,2.82,0.28
2020/05/27 04:00 to 2020/05/27 05:00,1.95,0.2
2020/05/27 05:00 to 2020/05/27 06:00,1.36,0.14
2020/05/27 06:00 to 2020/05/27 07:00,1.64,0.17
2020/05/27 07:00 to 2020/05/27 08:00,1.65,0.17
2020/05/27 08:00 to 2020/05/27 09:00,2.46,0.25
2020/05/27 09:00 to 2020/05/27 10:00,2.89,0.29
2020/05/27 10:00 to 2020/05/27 11:00,3.6,0.36
2020/05/27 11:00 to 2020/05/27 12:00,4.45,0.45
2020/05/27 12:00 to 2020/05/27 13:00,2.96,0.3
2020/05/27 13:00 to 2020/05/27 14:00,3.11,0.31
2020/05/27 14:00 to 2020/05/27 15:00,3.12,0.32
2020/05/27 15:00 to 2020/05/27 16:00,5.08,0.51
2020/05/27 16:00 to 2020/05/27 17:00,4.06,0.41
2020/05/27 17:00 to 2020/05/27 18:00,4.95,0.5
2020/05/27 18:00 to 2020/05/27 19:00,6.67,0.67
2020/05/27 19:00 to 2020/05/27 20:00,3.63,0.37
2020/05/27 20:00 to 2020/05/27 21:00,5.47,0.55
2020/05/27 21:00 to 2020/05/27 22:00,5.04,0.51
2020/05/27 22:00 to 2020/05/27 23:00,3.46,0.35
2020/05/27 23:00 to 2020/05/28 00:00,3.53,0.36
2020/05/28 00:00 to 2020/05/28 01:00,3.9,0.39
2020/05/28 01:00 to 2020/05/28 02:00,3.19,0.32
2020/05/28 02:00 to 2020/05/28 03:00,1.24,0.13
2020/05/28 03:00 to 2020/05/28 04:00,1.64,0.17
2020/05/28 04:00 to 2020/05/28 05:00,1.64,0.17
2020/05/28 05:00 to 2020/05/28 06:00,1.49,0.15
2020/05/28 06:00 to 2020/05/28 07:00,1.44,0.15
2020/05/28 07:00 to 2020/05/28 08:00,1.6,0.16
2020/05/28 08:00 to 2020/05/28 09:00,1.44,0.15
2020/05/28 09:00 to 2020/05/28 10:00,1.4,0.14
2020/05/28 10:00 to 2020/05/28 11:00,1.5,0.15
2020/05/28 11:00 to 2020/05/28 12:00,1.63,0.16
2020/05/28 12:00 to 2020/05/28 13:00,3.2,0.32
2020/05/28 13:00 to 2020/05/28 14:00,3.54,0.36
2020/05/28 14:00 to 2020/05/28 15:00,3.32,0.34
2020/05/28 15:00 to 2020/05/28 16:00,3.35,0.34
2020/05/28 16:00 to 2020/05/28 17:00,3.17,0.32
2020/05/28 17:00 to 2020/05/28 18:00,3.76,0.38
2020/05/28 18:00 to 2020/05/28 19:00,3.88,0.39
2020/05/28 19:00 to 2020/05/28 20:00,3.01,0.3
2020/05/28 20:00 to 2020/05/28 21:00,2.93,0.3
2020/05/28 21:00 to 2020/05/28 22:00,2.38,0.24
2020/05/28 22:00 to 2020/05/28 23:00,2.43,0.25
2020/05/28 23:00 to 2020/05/29 00:00,2.49,0.25
2020/05/29 00:00 to 2020/05/29 01:00,2.67,0.27
2020/05/29 01:00 to 2020/05/29 02:00,2.11,0.21
2020/05/29 02:00 to 2020/05/29 03:00,1.51,0.15
2020/05/29 03:00 to 2020/05/29 04:00,0.84,0.08
2020/05/29 04:00 to 2020/05/29 05:00,1.07,0.11
2020/05/29 05:00 to 2020/05/29 06:00,1.04,0.11
2020/05/29 06:00 to 2020/05/29 07:00,0.97,0.1
2020/05/29 07:00 to 2020/05/29 08:00,1.21,0.12
2020/05/29 08:00 to 2020/05/29 09:00,2.29,0.23
2020/05/29 09:00 to 2020/05/29 10:00,2.31,0.23
2020/05/29 10:00 to 2020/05/29 11:00,2.05,0.21
2020/05/29 11:00 to 2020/05/29 12:00,2.34,0.24
2020/05/29 12:00 to 2020/05/29 13:00,2.72,0.27
2020/05/29 13:00 to 2020/05/29 14:00,3.17,0.32
2020/05/29 14:00 to 2020/05/29 15:00,2.16,0.22
2020/05/29 15:00 to 2020/05/29 16:00,2.6,0.26
2020/05/29 16:00 to 2020/05/29 17:00,3.05,0.31
2020/05/29 17:00 to 2020/05/29 18:00,2.53,0.26
2020/05/29 18:00 to 2020/05/29 19:00,4.55,0.46
2020/05/29 19:00 to 2020/05/29 20:00,2.76,0.28
2020/05/29 20:00 to 2020/05/29 21:00,2.56,0.26
2020/05/29 21:00 to 2020/05/29 22:00,2.09,0.21
2020/05/29 22:00 to 2020/05/29 23:00,1.88,0.19
2020/05/29 23:00 to 2020/05/30 00:00,4.24,0.43
2020/05/30 00:00 to 2020/05/30 01:00,4.69,0.3
2020/05/30 01:00 to 2020/05/30 02:00,2.12,0.14
2020/05/30 02:00 to 2020/05/30 03:00,1.1,0.07
2020/05/30 03:00 to 2020/05/30 04:00,0.65,0.04
2020/05/30 04:00 to 2020/05/30 05:00,0.64,0.04
2020/05/30 05:00 to 2020/05/30 06:00,0.62,0.04
2020/05/30 06:00 to 2020/05/30 07:00,0.64,0.04
2020/05/30 07:00 to 2020/05/30 08:00,0.56,0.04
2020/05/30 08:00 to 2020/05/30 09:00,0.56,0.04
2020/05/30 09:00 to 2020/05/30 10:00,0.75,0.05
2020/05/30 10:00 to 2020/05/30 11:00,0.71,0.05
2020/05/30 11:00 to 2020/05/30 12:00,0.55,0.04
2020/05/30 12:00 to 2020/05/30 13:00,0.93,0.06
2020/05/30 13:00 to 2020/05/30 14:00,2.05,0.13
2020/05/30 14:00 to 2020/05/30 15:00,1.86,0.12
2020/05/30 15:00 to 2020/05/30 16:00,2.36,0.15
2020/05/30 16:00 to 2020/05/30 17:00,2.08,0.14
